NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
DAIICHI SANKYO CO - SPONS ADR,ADR,23381D102,"40,133","1,854,568",SH,,SOLE,,"1,656,396",0,"198,173"
DAIKIN INDUSTRIES-UNSPONSORED ADR,ADR,23381B106,"60,278","3,237,258",SH,,SOLE,,"2,741,457",0,"495,801"
DAIMLER AG UNSPONSOR ADR,ADR,233825207,"64,685","2,889,798",SH,,SOLE,,"2,546,554",0,"343,244"
DAIMLER AG-REGISTERED SHARES,Common Stock,D1668R123,677,"7,526",SH,,SOLE,,"7,316",0,210
DAITO TR CONSTR CO LTD ADR,ADR,23405X209,"35,955","1,304,022",SH,,SOLE,,"1,171,592",0,"132,430"
DAIWA HOUSE IND LTD ADR,ADR,234062206,"46,806","1,561,255",SH,,SOLE,,"1,394,810",0,"166,445"
DAIWA SECS GROUP INC ADR,ADR,234064301,"14,145","2,530,374",SH,,SOLE,,"2,342,687",0,"187,687"
DAKTRONICS INC,Common Stock,234264109,"1,663","252,366",SH,,SOLE,,"228,707",0,"23,659"
DANA INC,Common Stock,235825205,"12,771","537,517",SH,,SOLE,,"459,551",0,"77,966"
DANAHER CORP,Common Stock,235851102,"670,392","2,498,105",SH,,SOLE,,"2,038,004",0,"460,102"
DANIMER SCIENTIFIC INC,Common Stock,236272100,203,"8,105",SH,,SOLE,,"7,756",0,349
DANONE - SPONSORED ADR,ADR,23636T100,"44,485","3,161,725",SH,,SOLE,,"2,403,963",0,"757,762"
DANSKE BANK A/S - SPON ADR,ADR,236363206,"9,285","1,047,058",SH,,SOLE,,"933,104",0,"113,954"
DAQO NEW ENERGY CORP SPNSRD ADR NEW,ADR,23703Q203,"2,716","41,774",SH,,SOLE,,"41,105",0,669
DARDEN RESTAURANTS INC,Common Stock,237194105,"73,655","504,520",SH,,SOLE,,"387,991",0,"116,529"
DARLING INGREDIENTS INC,Common Stock,237266101,"29,281","433,794",SH,,SOLE,,"335,291",0,"98,503"
DASEKE INC COM,Common Stock,23753F107,71,"10,939",SH,,SOLE,,"10,809",0,130
DASSAULT SYS S A SPONSORED ADR,ADR,237545108,"72,809","298,838",SH,,SOLE,,"271,695",0,"27,143"
DATADOG INC - CLASS A,Common Stock,23804L103,"28,075","269,743",SH,,SOLE,,"252,614",0,"17,129"
DATTO HOLDING CORP,Common Stock,23821D100,"1,334","47,920",SH,,SOLE,,"30,319",0,"17,601"
DAVE & BUSTER'S ENTERTAINMENT,Common Stock,238337109,"6,276","154,589",SH,,SOLE,,"79,936",0,"74,653"
DAVITA INC,Common Stock,23918K108,"80,528","668,674",SH,,SOLE,,"370,965",0,"297,709"
DBS GROUP HLDGS LTD SPONSORED ADR,ADR,23304Y100,"86,336","968,547",SH,,SOLE,,"868,539",0,"100,009"
DBV TECHNOLOGIES S A SPONSORED ADR,ADR,23306J101,542,"99,274",SH,,SOLE,,0,0,"99,274"
DCP MIDSTREAM LP,MLP,23311P100,"1,266","41,261",SH,,SOLE,,"31,994",0,"9,267"
DECIPHERA PHARMACEUTICALS INC,Common Stock,24344T101,"1,796","49,059",SH,,SOLE,,"26,665",0,"22,394"
DECKERS OUTDOOR CORP COM,Common Stock,243537107,"31,796","82,787",SH,,SOLE,,"69,805",0,"12,982"
DEERE & CO,Common Stock,244199105,"353,972","1,003,579",SH,,SOLE,,"841,504",0,"162,075"
DEL TACO RESTAURANTS INC,Common Stock,245496104,"1,855","185,340",SH,,SOLE,,"102,980",0,"82,360"
DELEK US HOLDINGS INC,Common Stock,24665A103,"19,139","885,264",SH,,SOLE,,"222,809",0,"662,455"
DELL TECHNOLOGIES -C,Common Stock,24703L202,"33,088","331,974",SH,,SOLE,,"305,481",0,"26,493"
DELTA AIR LINES INC,Common Stock,247361702,"87,193","2,015,557",SH,,SOLE,,"1,407,280",0,"608,277"
DELUXE CORP,Common Stock,248019101,"7,211","150,946",SH,,SOLE,,"91,251",0,"59,695"
DENALI THERAPEUTICS INC,Common Stock,24823R105,"5,037","64,209",SH,,SOLE,,"27,199",0,"37,010"
DENBURY INC,Common Stock,24790A101,"3,016","39,276",SH,,SOLE,,"6,029",0,"33,247"
DENNY'S CORP,Common Stock,24869P104,621,"37,645",SH,,SOLE,,"34,859",0,"2,786"
DENSO CORP ADR,ADR,24872B100,"54,459","1,603,160",SH,,SOLE,,"1,460,976",0,"142,184"
DENTSPLY SIRONA INC,Common Stock,24906P109,"68,204","1,078,149",SH,,SOLE,,"960,847",0,"117,302"
DENTSU INC-UNSPON ADR,ADR,249034109,"2,640","73,500",SH,,SOLE,,"53,929",0,"19,571"
DERMTECH INC,Common Stock,24984K105,561,"13,500",SH,,SOLE,,"13,354",0,146
DESCARTES SYSTEMS GROUP INC,Common Stock,249906108,"2,236","32,333",SH,,SOLE,,"20,405",0,"11,928"
DESIGNER BRANDS INC,Common Stock,250565108,"4,418","266,973",SH,,SOLE,,"256,019",0,"10,954"
DESKTOP METAL INC-A,Common Stock,25058X105,132,"11,442",SH,,SOLE,,"11,334",0,108
DESPEGAR.COM CORP,Common Stock,G27358103,498,"37,667",SH,,SOLE,,"28,400",0,"9,267"
DEUTSCHE BANK AG NAMEN ORD,Common Stock,D18190898,"27,918","2,134,375",SH,,SOLE,,"1,917,104",0,"217,271"
DEUTSCHE BOERS AG - UNSPON ADR,ADR,251542106,"58,410","3,351,119",SH,,SOLE,,"2,951,873",0,"399,246"
DEUTSCHE LUFTHANSA A G SPONSORED ADR,ADR,251561304,"5,379","476,607",SH,,SOLE,,"419,689",0,"56,918"
DEUTSCHE POST AG,ADR,25157Y202,"102,939","1,510,590",SH,,SOLE,,"1,317,767",0,"192,824"
DEUTSCHE STRATEGIC MUN COM,Closed-End Fund,23342Q101,330,"26,233",SH,,SOLE,,10,0,"26,223"
DEUTSCHE TELEKOM AG SPONSORED ADR,ADR,251566105,"46,947","2,208,226",SH,,SOLE,,"1,968,649",0,"239,577"
DEUTSCHE WOHNEN SE - UNSPONSORED ADR,ADR,25161M103,"56,437","1,859,536",SH,,SOLE,,"1,678,334",0,"181,202"
DEVON ENERGY CORP,Common Stock,25179M103,"185,116","6,341,777",SH,,SOLE,,"4,528,957",0,"1,812,820"
DEXCOM INC COM,Common Stock,252131107,"110,857","259,618",SH,,SOLE,,"218,239",0,"41,379"
DFP Healthcare Acquisitions Co,Unit,23343Q209,254,"24,482",SH,,SOLE,,"24,482",0,0
DHI GROUP INC,Common Stock,23331S100,48,"14,340",SH,,SOLE,,"14,340",0,0
DHT HOLDINGS INC,Common Stock,Y2065G121,"2,200","339,049",SH,,SOLE,,"251,504",0,"87,545"
DIAGEO P L C SPON ADR NEW,ADR,25243Q205,"174,726","911,504",SH,,SOLE,,"690,880",0,"220,623"
Diageo PLC,Common Stock,G42089113,828,"16,963",SH,,SOLE,,"16,375",0,588
DIAMOND HILL INVESTMENT GROUP,Common Stock,25264R207,"1,650","9,863",SH,,SOLE,,"7,586",0,"2,277"
DIAMOND S SHIPPING INC,Common Stock,Y20676105,306,"30,771",SH,,SOLE,,"18,062",0,"12,709"
DIAMONDBACK ENERGY INC COM,Common Stock,25278X109,"134,494","1,432,468",SH,,SOLE,,"1,258,497",0,"173,971"
DIAMONDROCK HOSPITALITY CO REIT,REIT,252784301,"8,206","845,931",SH,,SOLE,,"778,733",0,"67,198"
DIANA SHIPPING INC,Common Stock,Y2066G104,293,"56,144",SH,,SOLE,,"56,144",0,0
DICERNA PHARMACEUTICALS INC,Common Stock,253031108,"3,205","85,871",SH,,SOLE,,"44,567",0,"41,304"
DICK'S SPORTING GOODS INC,Common Stock,253393102,"66,445","663,192",SH,,SOLE,,"160,870",0,"502,321"
DIEBOLD NIXDORF INC,Common Stock,253651103,"3,754","292,333",SH,,SOLE,,"218,692",0,"73,641"
DIGI INTERNATIONAL INC,Common Stock,253798102,801,"39,851",SH,,SOLE,,"36,379",0,"3,472"
DIGITAL REALTY TRUST INC REIT,REIT,253868103,"113,571","754,826",SH,,SOLE,,"653,631",0,"101,195"
Digital Turbine Inc,Common Stock,25400W102,"10,982","144,444",SH,,SOLE,,"99,384",0,"45,060"
DILLARD'S INC,Common Stock,254067101,"43,120","238,391",SH,,SOLE,,"94,332",0,"144,059"
DIME COMMUNITY BANCSHARES INC,Common Stock,25432X102,"2,409","71,657",SH,,SOLE,,"64,894",0,"6,763"
DINE BRANDS GLOBAL INC,Common Stock,254423106,"6,200","69,470",SH,,SOLE,,"55,860",0,"13,610"
DIODES INC,Common Stock,254543101,"12,361","154,962",SH,,SOLE,,"105,922",0,"49,040"
DIRECT LINE INS GP PLC ADR,ADR,2.55E+206,220,"12,975",SH,,SOLE,,"8,531",0,"4,444"
DISCO CORP-UNSPONSORED ADR,ADR,25461D100,588,"9,624",SH,,SOLE,,"7,380",0,"2,244"
DISCOVER COMMUNICATIONS INC SH C,Common Stock,25470F302,"24,410","842,294",SH,,SOLE,,"766,919",0,"75,375"
DISCOVER FINANCIAL SERVICES,Common Stock,254709108,"231,202","1,954,539",SH,,SOLE,,"1,271,660",0,"682,879"
DISCOVERY INC - A,Common Stock,25470F104,"24,136","786,708",SH,,SOLE,,"712,439",0,"74,269"
DISH NETWORK CORP,Common Stock,25470M109,"29,442","704,342",SH,,SOLE,,"603,729",0,"100,613"
DIVERSIFIED HEALTHCARE TRUST,REIT,25525P107,"10,878","2,602,361",SH,,SOLE,,"759,109",0,"1,843,252"
Dlocal Ltd/Uruguay,Common Stock,G29018101,387,"7,364",SH,,SOLE,,"6,832",0,532
DMC GLOBAL INC,Common Stock,23291C103,"2,522","44,873",SH,,SOLE,,"24,095",0,"20,778"
DNB ASA-SPONSOR ADR,ADR,2.33E+110,"27,535","1,262,199",SH,,SOLE,,"1,169,895",0,"92,304"
DOCUSIGN INC,Common Stock,256163106,"84,217","301,238",SH,,SOLE,,"224,930",0,"76,308"
DOLBY LABORATORIES INC-CL A,Common Stock,25659T107,"25,970","264,223",SH,,SOLE,,"248,343",0,"15,880"
DOLLAR GENERAL CORP,Common Stock,256677105,"298,010","1,377,187",SH,,SOLE,,"917,893",0,"459,294"
DOLLAR TREE INC,Common Stock,256746108,"55,987","562,680",SH,,SOLE,,"447,791",0,"114,889"
DOMINION ENERGY INC,Common Stock,25746U109,"179,218","2,436,025",SH,,SOLE,,"2,136,858",0,"299,167"
DOMINO'S PIZZA INC,Common Stock,25754A201,"50,876","109,062",SH,,SOLE,,"70,000",0,"39,061"
DOMO INC - CLASS B,Common Stock,257554105,"6,078","75,198",SH,,SOLE,,"21,133",0,"54,065"
DOMTAR CORP,Common Stock,257559203,"17,534","319,035",SH,,SOLE,,"223,708",0,"95,327"
DONALDSON CO INC,Common Stock,257651109,"15,601","245,574",SH,,SOLE,,"223,350",0,"22,224"
DONEGAL GROUP INC CL A,Common Stock,257701201,511,"35,080",SH,,SOLE,,"31,676",0,"3,404"
DONNELLEY FINANCIAL SOLU - W/I,Common Stock,25787G100,"8,079","244,821",SH,,SOLE,,"140,097",0,"104,724"
DOORDASH INC - A,Common Stock,25809K105,"16,044","89,967",SH,,SOLE,,"85,990",0,"3,977"
DORIAN LPG LTD SHS USD,Common Stock,Y2106R110,"1,400","99,181",SH,,SOLE,,"82,464",0,"16,717"
DORMAN PRODUCTS INC,Common Stock,258278100,"8,999","86,807",SH,,SOLE,,"63,908",0,"22,899"
DOUBLEVERIFY HOLDINGS INC,Common Stock,25862V105,"1,733","40,923",SH,,SOLE,,"5,540",0,"35,383"
DOUGLAS DYNAMICS INC,Common Stock,25960R105,"1,577","38,760",SH,,SOLE,,"38,472",0,288
DOUGLAS EMMETT INC,REIT,25960P109,"12,363","367,720",SH,,SOLE,,"318,955",0,"48,765"
DOUYU INTERNATIONAL HOLD-ADR,ADR,25985W105,"1,571","229,606",SH,,SOLE,,"220,382",0,"9,224"
DOVER CORP,Common Stock,260003108,"88,145","585,295",SH,,SOLE,,"520,140",0,"65,156"
DOW INC,Common Stock,260557103,"176,575","2,790,378",SH,,SOLE,,"2,053,318",0,"737,060"
DR HORTON INC,Common Stock,23331A109,"138,408","1,531,568",SH,,SOLE,,"1,179,281",0,"352,287"
DR REDDYS LABS LTD ADR,ADR,256135203,"27,052","367,998",SH,,SOLE,,"350,615",0,"17,383"
DRAFTKINGS INC - CL A,Common Stock,26142R104,"13,794","264,407",SH,,SOLE,,"90,794",0,"173,613"
DRIL-QUIP INC,Common Stock,262037104,"3,878","114,640",SH,,SOLE,,"96,397",0,"18,243"
DROPBOX INC-CLASS A,Common Stock,26210C104,"13,729","452,960",SH,,SOLE,,"263,928",0,"189,032"
DSM N V SPONSORED ADR,ADR,780249108,"38,393","820,703",SH,,SOLE,,"709,179",0,"111,525"
DSP GROUP INC,Common Stock,23332B106,"1,033","69,802",SH,,SOLE,,"64,995",0,"4,807"
DSV A/S-UNSPONSORED ADR,ADR,26251A108,"82,671","706,772",SH,,SOLE,,"636,339",0,"70,433"
DTE ENERGY CO,Common Stock,233331107,"89,824","693,088",SH,,SOLE,,"561,756",0,"131,332"
DUCK CREEK TECHNOLOGIES INC,Common Stock,264120106,803,"18,457",SH,,SOLE,,"14,598",0,"3,859"
DUCKHORN PORTFOLIO INC,Common Stock,26414D106,"1,336","60,584",SH,,SOLE,,"4,329",0,"56,255"
DUCOMMUN INC,Common Stock,264147109,"1,998","36,613",SH,,SOLE,,"32,955",0,"3,658"
DUFF & PHELPS UTILITY AND INFR,Closed-End Fund,26433C105,"1,360","94,959",SH,,SOLE,,"54,621",0,"40,338"
DUKE ENERGY CORP,Common Stock,26441C204,"274,304","2,778,602",SH,,SOLE,,"2,174,433",0,"604,169"
DUKE REALTY CORP COM NEW REIT,REIT,264411505,"48,140","1,016,690",SH,,SOLE,,"881,987",0,"134,704"
DULUTH HLDGS INC COM CL B,Common Stock,26443V101,381,"18,457",SH,,SOLE,,"18,421",0,36
Dun & Bradstreet Holdings Inc,Common Stock,26484T106,598,"27,988",SH,,SOLE,,"23,963",0,"4,025"
DUPONT DE NEMOURS INC,Common Stock,26614N102,"213,243","2,754,724",SH,,SOLE,,"2,168,207",0,"586,516"
DURECT CORP COM,Common Stock,266605104,133,"81,642",SH,,SOLE,,"55,604",0,"26,038"
DWS Municipal Income Trust,Closed-End Fund,233368109,"10,277","840,330",SH,,SOLE,,"60,217",0,"780,113"
DXC TECHNOLOGY CO,Common Stock,23355L106,"128,899","3,310,192",SH,,SOLE,,"1,906,587",0,"1,403,605"
DXP ENTERPRISES INC,Common Stock,233377407,"1,774","53,285",SH,,SOLE,,"50,110",0,"3,175"
DYCOM INDUSTRIES INC,Common Stock,267475101,"5,484","73,583",SH,,SOLE,,"69,726",0,"3,857"
DYNATRACE INC,Common Stock,268150109,"7,828","133,987",SH,,SOLE,,"125,746",0,"8,241"
DYNAVAX TECHNOLOGIES CORP COM,Common Stock,268158201,"1,664","168,955",SH,,SOLE,,"56,557",0,"112,398"
DYNEX CAP INC COM,REIT,26817Q886,"2,970","159,185",SH,,SOLE,,"40,270",0,"118,915"
E ON AG,ADR,268780103,"28,658","2,465,207",SH,,SOLE,,"2,252,090",0,"213,117"
E2OPEN PARENT HOLDINGS INC,Common Stock,29788T103,925,"80,962",SH,,SOLE,,"2,339",0,"78,623"
EAGLE BANCORP INC,Common Stock,268948106,"8,199","146,198",SH,,SOLE,,"110,169",0,"36,029"
EAGLE BULK SHIPPING INC,Common Stock,Y2187A150,628,"13,273",SH,,SOLE,,"13,221",0,52
EAGLE MATERIALS INC,Common Stock,26969P108,"9,774","68,777",SH,,SOLE,,"64,802",0,"3,975"
EAGLE PHARMACEUTICALS INC,Common Stock,269796108,"2,103","49,145",SH,,SOLE,,"36,345",0,"12,800"
Eargo Inc,Common Stock,270087109,214,"5,357",SH,,SOLE,,"5,339",0,18
EARTHSTONE ENERGY INC COM NEW,Common Stock,27032D304,"1,713","154,714",SH,,SOLE,,"150,722",0,"3,992"
EAST JAPAN RAILWAY CO ADR,ADR,273202101,"34,008","2,865,080",SH,,SOLE,,"2,604,669",0,"260,411"
EAST WEST BANCORP INC,Common Stock,27579R104,"22,869","319,003",SH,,SOLE,,"298,253",0,"20,749"
EASTERLY GOVT PPTYS IN COM,REIT,27616P103,"6,420","304,543",SH,,SOLE,,"261,857",0,"42,686"
EASTERN BANKSHARES INC,Common Stock,27627N105,320,"15,542",SH,,SOLE,,"13,623",0,"1,919"
EASTGROUP PROPERTIES INC REIT,REIT,277276101,"19,988","121,544",SH,,SOLE,,"97,944",0,"23,599"
EASTMAN CHEMICAL CO,Common Stock,277432100,"131,902","1,129,781",SH,,SOLE,,"646,673",0,"483,109"
EASTMAN KODAK CO COM NEW,Common Stock,277461406,454,"54,511",SH,,SOLE,,"7,843",0,"46,668"
EATON CORP PLC,Common Stock,G29183103,"308,637","2,082,855",SH,,SOLE,,"1,629,076",0,"453,779"
EATON VANCE INS MUN BD COM,Closed-End Fund,27827X101,"9,105","665,579",SH,,SOLE,,"21,023",0,"644,556"
EATON VANCE LTD DURATION FND,Closed-End Fund,27828H105,"21,076","1,589,415",SH,,SOLE,,"149,693",0,"1,439,721"
EATON VANCE MUNICIPAL INCOME FUND,Closed-End Fund,27826U108,"1,590","113,360",SH,,SOLE,,"13,241",0,"100,119"
EBAY INC,Common Stock,278642103,"307,748","4,383,245",SH,,SOLE,,"2,875,160",0,"1,508,085"
EBIX INC,Common Stock,278715206,"3,049","89,948",SH,,SOLE,,"74,515",0,"15,433"
ECHO GLOBAL LOGISTICS INC.,Common Stock,27875T101,"5,127","166,779",SH,,SOLE,,"70,418",0,"96,361"
ECHOSTAR CORP,Common Stock,278768106,"1,044","42,989",SH,,SOLE,,"38,350",0,"4,639"
ECOLAB INC,Common Stock,278865100,"211,504","1,026,867",SH,,SOLE,,"810,455",0,"216,412"
ECOPETROL SA-SPONSORED ADR,ADR,279158109,"10,177","696,079",SH,,SOLE,,"674,420",0,"21,659"
EDENRED SA-UNSP ADR,ADR,279655104,"15,437","539,174",SH,,SOLE,,"467,767",0,"71,407"
EDGEWELL PERSONAL CARE CO,Common Stock,28035Q102,"5,915","134,745",SH,,SOLE,,"97,087",0,"37,658"
EDISON INTERNATIONAL,Common Stock,281020107,"62,930","1,088,370",SH,,SOLE,,"959,818",0,"128,552"
EDITAS MEDICINE INC,Common Stock,28106W103,"3,844","67,875",SH,,SOLE,,"63,750",0,"4,125"
EDP ENERGIAS DE PORTUGAL S A SPONSORED ADR,ADR,268353109,"24,672","462,366",SH,,SOLE,,"427,569",0,"34,797"
EDWARDS LIFESCIENCES CORP,Common Stock,2.82E+112,"233,839","2,257,787",SH,,SOLE,,"1,914,506",0,"343,281"
EHEALTH INC,Common Stock,28238P109,"2,031","34,785",SH,,SOLE,,"31,710",0,"3,075"
EISAI LTD SPONSORED ADR,ADR,282579309,"31,861","323,862",SH,,SOLE,,"293,210",0,"30,651"
EL POLLO LOCO HLDGS COM,Common Stock,268603107,827,"45,237",SH,,SOLE,,"39,311",0,"5,926"
ELANCO ANIMAL HEALTH INC,Common Stock,28414H103,"24,362","702,280",SH,,SOLE,,"653,210",0,"49,070"
ELASTIC NV,Common Stock,N14506104,"9,369","64,275",SH,,SOLE,,"60,752",0,"3,523"
ELBIT SYSTEMS LTD,Common Stock,M3760D101,"10,050","77,457",SH,,SOLE,,"72,689",0,"4,767"
ELECTRICITE DE FRANCE - ADR,ADR,285039103,"11,685","4,376,348",SH,,SOLE,,"3,914,597",0,"461,751"
ELECTRONIC ARTS INC,Common Stock,285512109,"175,540","1,220,465",SH,,SOLE,,"960,152",0,"260,313"
ELEKTA AB ADR,ADR,28617Y101,856,"59,283",SH,,SOLE,,"50,679",0,"8,604"
ELEMENT SOLUTIONS INC,Common Stock,28618M106,"10,195","436,038",SH,,SOLE,,"244,802",0,"191,236"
ELF BEAUTY,Common Stock,26856L103,"1,901","70,044",SH,,SOLE,,"63,256",0,"6,788"
ELI LILLY & CO,Common Stock,532457108,"708,127","3,085,253",SH,,SOLE,,"2,480,002",0,"605,251"
ELLINGTON FINANCIAL LLC,REIT,28852N109,"1,070","55,860",SH,,SOLE,,"51,715",0,"4,145"
ELLINGTON RESIDENT MTG COM SHS BEN INT,REIT,288578107,160,"13,611",SH,,SOLE,,"12,890",0,721
EMBOTELLADORA ANDINA S A SPON ADR B,ADR,29081P303,337,"23,274",SH,,SOLE,,"23,216",0,57
EMBRAER-EMPRESA BRASILEIRA D SP ADR PFD SH,ADR,29082A107,"1,243","82,122",SH,,SOLE,,"82,122",0,0
EMCOR GROUP INC,Common Stock,29084Q100,"20,383","165,461",SH,,SOLE,,"91,063",0,"74,398"
EMCORE CORP COM,Common Stock,290846203,"1,189","128,968",SH,,SOLE,,0,0,"128,968"
EMERALD HOLDINGS INC,Common Stock,29103W104,640,"118,686",SH,,SOLE,,"111,175",0,"7,511"
EMERGENT BIOSOLUTIONS INC,Common Stock,29089Q105,"8,475","134,540",SH,,SOLE,,"80,328",0,"54,212"
EMERSON ELECTRIC CO,Common Stock,291011104,"211,215","2,194,665",SH,,SOLE,,"1,784,652",0,"410,013"
EMPIRE ST RLTY TR INC CL A,REIT,292104106,"12,159","1,013,213",SH,,SOLE,,"912,871",0,"100,342"
EMPLOYERS HOLDINGS INC,Common Stock,292218104,"3,980","92,986",SH,,SOLE,,"69,362",0,"23,624"
ENAGAS S.A.,ADR,29248L104,"13,163","1,139,621",SH,,SOLE,,"1,012,355",0,"127,266"
ENANTA PHARMACEUT INC COM,Common Stock,29251M106,"2,719","61,786",SH,,SOLE,,"55,370",0,"6,416"
ENBRIDGE INC,Common Stock,29250N105,"33,642","840,207",SH,,SOLE,,"784,135",0,"56,072"
ENCOMPASS HEALTH CORP,Common Stock,29261A100,"19,779","253,476",SH,,SOLE,,"164,097",0,"89,378"
ENCORE CAPITAL GROUP INC,Common Stock,292554102,"3,257","68,724",SH,,SOLE,,"58,858",0,"9,866"
ENCORE WIRE CORP,Common Stock,292562105,"3,554","46,897",SH,,SOLE,,"41,325",0,"5,572"
ENDAVA PLC- SPON ADR,ADR,29260V105,"3,931","34,669",SH,,SOLE,,"34,669",0,0
ENDO INTERNATIONAL PLC,Common Stock,G30401106,"1,842","393,551",SH,,SOLE,,"360,909",0,"32,642"
ENEL SPA,Common Stock,T3679P115,184,"18,821",SH,,SOLE,,"5,932",0,"12,889"
ENEL SPA - ADR,ADR,29265W207,"89,706","9,677,061",SH,,SOLE,,"7,613,003",0,"2,064,058"
ENERGIZER HOLDINGS INC,Common Stock,29272W109,"7,182","167,101",SH,,SOLE,,"118,808",0,"48,293"
ENERGY FUELS INC COM NEW,Common Stock,292671708,947,"156,596",SH,,SOLE,,"139,496",0,"17,100"
ENERGY RECOVERY INC,Common Stock,29270J100,388,"17,051",SH,,SOLE,,"16,577",0,474
ENERGY TRANSFER LP,MLP,29273V100,"4,715","443,511",SH,,SOLE,,"375,147",0,"68,364"
ENERPAC TOOL GROUP CORP,Common Stock,292765104,"3,869","145,355",SH,,SOLE,,"91,855",0,"53,499"
ENERPLUS CORP,Common Stock,292766102,557,"77,455",SH,,SOLE,,"77,239",0,216
ENERSIS CHILE SA-ADR W/I,ADR,29278D105,"1,769","599,566",SH,,SOLE,,"551,880",0,"47,686"
ENERSIS S A SPONSORED ADR,ADR,29274F104,"2,377","329,197",SH,,SOLE,,"316,014",0,"13,183"
ENERSYS,Common Stock,29275Y102,"8,190","83,803",SH,,SOLE,,"79,193",0,"4,610"
ENETI INC,Common Stock,Y2294C107,242,"12,971",SH,,SOLE,,"12,933",0,38
ENGIE,ADR,29286D105,"19,993","1,448,800",SH,,SOLE,,"1,317,029",0,"131,771"
ENGIE BRASIL SA - SPON ADR,ADR,29286U107,516,"65,523",SH,,SOLE,,"62,167",0,"3,356"
ENI S P A SPONSORED ADR,ADR,26874R108,"28,862","1,183,359",SH,,SOLE,,"1,022,681",0,"160,678"
ENN ENERGY HLDGS LTD ADR,ADR,26876F102,"8,760","115,787",SH,,SOLE,,"108,099",0,"7,688"
ENNIS INC,Common Stock,293389102,"1,900","88,273",SH,,SOLE,,"36,047",0,"52,226"
ENOCHIAN BIOSCIENCES INC,Common Stock,2.94E+108,108,"21,787",SH,,SOLE,,"21,787",0,0
ENOVA INTERNATIONAL INC,Common Stock,29357K103,"3,348","97,878",SH,,SOLE,,"83,079",0,"14,799"
ENPHASE ENERGY INC,Common Stock,29355A107,"54,929","299,130",SH,,SOLE,,"264,319",0,"34,811"
ENPRO INDUSTRIES INC,Common Stock,29355X107,"8,257","84,993",SH,,SOLE,,"53,104",0,"31,889"
ENSIGN GROUP INC/THE,Common Stock,29358P101,"22,008","253,928",SH,,SOLE,,"156,709",0,"97,219"
ENSTAR GROUP LTD,Common Stock,G3075P101,"2,090","8,747",SH,,SOLE,,"8,016",0,731
Entain PLC,ADR,293603106,"3,750","156,244",SH,,SOLE,,"139,983",0,"16,261"
ENTEGRIS INC,Common Stock,29362U104,"28,422","231,128",SH,,SOLE,,"168,924",0,"62,204"
ENTERGY CORP,Common Stock,29364G103,"61,838","620,245",SH,,SOLE,,"530,240",0,"90,005"
ENTERPRISE FINANCIAL SERVICES,Common Stock,293712105,"1,075","23,167",SH,,SOLE,,"20,276",0,"2,891"
ENTERPRISE PRODS PARTNERS L COM,MLP,293792107,"4,633","192,010",SH,,SOLE,,"151,090",0,"40,920"
ENTRAVISION COMMUNICATIONS COR,Common Stock,29382R107,424,"63,476",SH,,SOLE,,"42,754",0,"20,722"
ENVESTNET INC COM,Common Stock,29404K106,"4,930","64,987",SH,,SOLE,,"54,130",0,"10,857"
ENVISTA HOLDINGS CORP,Common Stock,29415F104,"20,264","468,967",SH,,SOLE,,"365,320",0,"103,647"
EOG RESOURCES INC,Common Stock,26875P101,"138,494","1,659,806",SH,,SOLE,,"1,474,383",0,"185,423"
EPAM SYS INC COM,Common Stock,29414B104,"60,710","118,815",SH,,SOLE,,"88,816",0,"29,999"
EPIROC AB-UNSP ADR,ADR,29429L105,"23,180","1,015,227",SH,,SOLE,,"931,986",0,"83,241"
EPIZYME INC COM,Common Stock,29428V104,479,"57,622",SH,,SOLE,,"53,722",0,"3,900"
EPLUS INC COM,Common Stock,294268107,"2,701","31,156",SH,,SOLE,,"25,122",0,"6,034"
EPR PROPERTIES,REIT,26884U109,"15,193","288,397",SH,,SOLE,,"264,842",0,"23,556"
EQT CORP,Common Stock,26884L109,"33,150","1,489,218",SH,,SOLE,,"1,423,360",0,"65,858"
EQUIFAX INC COM,Common Stock,294429105,"91,006","379,969",SH,,SOLE,,"336,799",0,"43,170"
EQUINIX INC,REIT,29444U700,"239,521","298,431",SH,,SOLE,,"254,949",0,"43,482"
EQUINOR ASA,ADR,29446M102,"34,665","1,635,161",SH,,SOLE,,"1,441,195",0,"193,966"
EQUITABLE HOLDINGS INC,Common Stock,2.95E+105,"32,009","1,051,186",SH,,SOLE,,"882,315",0,"168,872"
EQUITRANS MIDSTREAM CORP,Common Stock,294600101,"14,754","1,733,670",SH,,SOLE,,"1,695,332",0,"38,338"
EQUITY COMMONWEALTH,REIT,294628102,"23,327","890,331",SH,,SOLE,,"270,080",0,"620,251"
EQUITY LIFESTYLE PROPERTIES REIT,REIT,29472R108,"25,888","348,384",SH,,SOLE,,"301,551",0,"46,834"
EQUITY RESIDENTIAL SH BEN INT REIT,REIT,29476L107,"78,438","1,018,680",SH,,SOLE,,"917,849",0,"100,832"
ERICSSON L M TEL CO ADR B SEK 10,ADR,294821608,"51,201","4,070,043",SH,,SOLE,,"3,592,810",0,"477,233"
ERIE INDEMNITY CO,Common Stock,29530P102,"11,886","61,475",SH,,SOLE,,"51,998",0,"9,477"
